あう、遭う
あおぐ、仰ぐ
あかす、飽かす
あがる、揚がる
あきる、飽きる
あげる、揚げる
あざむく、欺く
あせる、焦る
あたえる、与える
あたためる、緩める
あつかう、扱う
あてる、充てる
あなどる、侮る
あまえる、甘える
あまやかす、甘やかす
あやしむ、怪しむ
あらす、荒らす
あれる、荒れる
あわせる、併せる
あわてる、慌てる
あわれむ、哀れむ
いかる・おこる、怒る
いきどおる、憤る
いく・ゆく、逝く
いこう、憩う
いざなう・さそう、誘う
いだく・だく、抱く
いたす、致す
いたむ、悼む
いつくしむ、慈しむ
いつわる、偽る
いどむ、挑む
いのる、祈る
いましめる、戒める
いむ、忌む
いやしむ、卑しむ
いやしめる、卑しめる
いる、鋳る
いろどる、彩る
うえる、飢える
うかがう、伺う
うかぶ、浮かぶ
うかべる、浮かべる
うかれる、浮かれる
うける、請ける
うごく、浮く
うすおす、潤す
うすまる、薄まる
うすめる、薄める
うすらぐ、薄らぐ
うすれる、薄れる
うたう、謡う
うつ、撃つ
うったえる、訴える
うとむ、疎む
うながす、促す
うばう、奪う
うまる、埋まる
うめる、埋める
うもれる、埋もれる
うらなう、占う
うらむ、恨む
うるおう、潤う
うるむ、潤む
うれえる、愁える
うれえる、憂える
えがく、描く
おおう、覆う
おかす、浸す
おかす、冒す
おくらす、遅らす
おくる、贈る
おくれる、遅れる
おこたる、怠る
おさえる、押さえる
おさえる、抑える
おさまる、鎮まる
おしむ、惜しむ
おす、押す
おそう、襲う
おそれる、恐れる
おちいる、陥る
おどかす・おびやかす、脅かす
おとしいれる、陥れる
おどす、脅す
おとる、劣る
おどる、躍る
おどる、踊る
おとろえる、衰える
おどろかす、驚かす
おどろく、驚く
おもむく、赴く
およぶ、及ぶ
およぼす、及ぼす
おろす、卸す
かえりみる、顧みる
かえる、換える
かえる、替える
かおる、薫る
かおる、香る
かかえる、抱える
かかげる、掲げる
かがやく、輝く
かかる、架かる
かかる、掛かる
かかる、懸かる
かく、乾く
かく、傾く
かくす、隠す
かくれる、隠れる
かける、架ける
かける、掛ける
かける、駆ける
かける、懸ける
かげる、陰る
かざる、飾る
かたむける、傾ける
かたよる、偏る
かねる、兼ねる
かぶる、被る
かもす、醸す
からす、枯らす
からまる、絡まる
からむ、絡む
かる、刈る
かる、駆る
かる、狩る
かれる、枯れる
かわかす、乾かす
かわく、渇く
かわる、換わる
かわる、替わる
きく、聴く
きたえる、鍛える
きらう、嫌う
きわまる、窮まる
きわめる、窮める
くいる、悔いる
くさらす、腐らす
くさる、腐る
くされる、腐れる
くずす、崩す
くずれる、崩れる
くだく、砕く
くだける、砕ける
くちる、朽ちる
くつがえす、覆す
くつがえる、覆る
くむ、酌む
くもる、曇る
くやむ、悔やむ
くる、繰る
くるうう、狂う
くわだてる、企てる
けがす・よごす、汚す
けがれる・よごれる、汚れる
けずる、削る
けむる、煙る
こう、請う
こう、恋う
こえる、越える
こえる、超える
こおる、凍る
こがす、焦がす
こがれる、焦がれる
こげる、焦げる
こごえる、凍える
こす、越す
こす、超す
こする・する、擦る
こばむ、拒む
こむ、込む
こめる、込める
こらえる、堪える
こらしめる、懲らしめる
こらす、凝らす
こらす、懲らす
こりる、懲りる
こる、凝る
こわす、壊す
こわれる、壊れる
さえぎる、遮る
さがす、捜す
さく、咲く
さく、裂く
さけぶ、叫ぶ
さける、避ける
さける、裂ける
ささる、刺さる
さす、刺す
さす、挿す
さとす、諭す
さとる、悟る
さびれる、寂れる
さまたげる、妨げる
さわぐ、騒ぐ
さわる、触る
しいたげる、虐げる
しく、敷く
しげる、茂る
しずむ、潜む
しずむ、沈む
しずめる、沈める
しずめる、鎮める
したう、慕う
したたる、滴る
しのばせる、忍ばせる
しのぶ、忍ぶ
しばる、縛る
しぶる、渋る
しぼる、絞る
しぼる、搾る
しまる、絞まる
しまる、締まる
しめる、絞める
しめる、湿る
しめる、占める
しめる、締める
すえる、据える
すかす、透かす
すく、透く
すける、透ける
すずむ、涼む
すすめる、勧める
すすめる、薦める
すたる、廃る
すたれる、廃れる
すべる、滑る
すます、澄ます
すむ、澄む
すれる、擦れる
すわる、据わる
せばめる、狭める
せまる、迫る
せめる、攻める
そう、添う
そえる、添える
そそのかす、唆す
たえる、耐える
たおす、倒す
たおれる、倒れる
たがえる・ちがえる、違える
たく、炊く
たくわえる、蓄える
たずさえる、携える
たずさわる、携わる
たずねる、尋ねる
たたかう、闘う
たたむ、畳む
ただよう、漂う
たてまつる、奉る
たのむ、頼む
だまる、黙る
たまわる、賜る
ためる、矯める
たよる、頼る
たわむれる、戯れる
ちかう、誓う
ちがう、違う
ちぎる、契る
つかう、遣う
つかす、尽かす
つかまえる、捕まえる
つかまる、捕まる
つからす、疲らす
つかる、漬かる
つかれる、疲れる
つかわす、遣わす
つきる、尽きる
つく、突く
つぐ、継ぐ
つくす、尽くす
つぐなう、償う
つくろう、繕う
つける、漬ける
つちかう、培う
つつしむ、謹む
つつしむ、慎む
つのる、募る
つまる、詰まる
つむ、詰む
つむ、摘む
つむぐ、紡ぐ
つめる、詰める
つらぬく、貫く
つる、釣る
とかす、溶かす
とく、溶く
とける、溶ける
とげる、遂げる
とつぐ、嫁ぐ
とつぐ、稼ぐ
とどこおる、滞る
となる、隣る
とぶ、跳ぶ
とまる、泊まる
とむらう、弔う
とめる、泊める
ともなう、伴う
とらえる、捕らえる
とららわれる、捕らわれる
とる、獲る
とる、撮る
とる、執る
とる、捕る
ながめる、眺める
なぐさむ、慰む
なぐさめる、慰める
なぐる、殴る
なげく、嘆く
なつかしむ、懐かしむ
なつく、懐く
なつける、懐ける
なまける、怠ける
なやます、悩ます
なやむ、悩む
ならう、倣う
にえる、煮える
にがす、逃がす
にぎる、握る
にくむ、憎む
にげる、逃げる
にごす、濁す
にごる、濁る
にぶる、鈍る
にやす、煮やす
にる、煮る
ぬう、縫う
ぬかす、抜かす
ぬかる、抜かる
ぬく、抜く
ぬぐ、脱ぐ
ぬける、抜ける
ぬげる、脱げる
ぬすむ、盗む
ぬらす、湿す
ぬる、塗る
ねかす、寝かす
ねばる、粘る
ねむる、眠る
ねる、寝る
のがす、逃す
のがれる、逃れる
のせる、載せる
のばす、伸ばす
のびる、伸びる
のぼる、昇る
のる、載る
はかる、諮る
はかる、謀る
はく、掃く
はく、吐く
はく、履く
はげます、励ます
はげむ、励む
はさまる、挟まる
はさまる、狭まる
はさむ、挟む
はじらう、恥じらう
はじる、恥じる
はずかしめる、辱める
はずむ、弾む
はなす、離す
はなれる、離れる
はねる、跳ねる
はばむ、阻む
はらう、払う
ひいでる、秀でる
ひかえる、控える
ひく、弾く
ひたす、侵す
ひたる、浸る
ひびく、響く
ひるがえす、翻す
ひるがえる、翻る
ふえる、殖える
ふかす、更かす
ふく、吹く
ふく、噴く
ふくむ、含む
ふくめる、含める
ふくらむ、膨らむ
ふくれる、膨れる
ふける、更ける
ふす、伏す
ふせる、伏せる
ふまえる、踏まえる
ふむ、踏む
ふやす、殖やす
ふる、振る
ふるう、振るう
ふるう、震う
ふるえる、震える
ふれる、触れる
へだたる、隔たる
へだてる、隔てる
ほうむる、葬る
ほこる、誇る
ほどこす、施す
ほめる、褒める
ほる、掘る
ほる、彫る
ほろびる、滅びる
ほろぼす、滅ぼす
まう、舞う
まかなう、賄う
まぎらす、紛らす
まぎらわす、紛らわす
まぎれる、紛れる
またたく、瞬く
まどう、惑う
まぬがれる、免れる
みがく、磨く
みる、診る
むかえる、迎える
めぐむ、恵む
めぐる、巡る
めす、召す
もぐる、潜る
もどす、戻す
もどる、戻る
もよおす、催す
もらす、漏らす
もる、漏る
もれる、漏れる
やとう、雇う
ゆさぶる、揺さぶる
ゆすぶる、揺すぶる
ゆする、揺する
ゆずる、譲る
ゆらぐ、揺らぐ
ゆる、揺る
ゆるぐ、揺るぐ
ゆるむ、緩む
ゆれる、揺れる
よう、酔う
よむ、詠む
わかす、沸かす
わく、沸く
わずらう、患う
わずらう、煩う
わずらわす、煩わす
わたす、渡す
わたる、渡る
