あう、合う
あう、会う
あかす、明かす
あからむ、明らむ
あからむ、赤らむ
あからめる、赤らめる
あがる、上がる
あがる、挙がる
あかるむ、明るむ
あきなう、商う
あく、明く
あく・すく、空く
あく・ひらく、開く
あける、明ける
あける、空ける
あげる、上げる
あげる、挙げる
あける・ひらける、開ける
あじわう、味わう
あずかる、預かる
あずける、預ける
あそぶ、遊ぶ
あたたまる、暖まる
あたたまる、温まる
あたためる、暖める
あたためる、温める
あたる、当たる
あつまる、集まる
あつめる、集める
あてる、当てる
あばく、暴く
あばれる、暴れる
あびせる、浴びせる
あびる、浴びる
あます、余す
あまる、余る
あやつる、操る
あやぶむ、危ぶむ
あやまつ、過つ
あやまる、謝る
あやまる、誤る
あゆむ、歩む
あゆむ、編む
あらう、洗う
あらそう、争う
あらたまる、改まる
あらためる、改める
あらわす、表す
あらわす、著す
あらわす、現す
あらわれる、表れる
あらわれる、現れる
ある、有る
ある、在る
あるく、歩く
あわす、合わす
あわせる、合わせる
いう、言う
いかす、生かす
いきる、生きる
いく、行く
いける、生ける
いさむ、勇む
いそぐ、急ぐ
いただく、頂く
いたむ、痛む
いたむ、傷む
いためる、痛める
いためる、傷める
いたる、至る
いとなむ、営む
いどむ、臨む
いのる、折る
いる、要る
いる、射る
いる、居る
いる・はいる、入る
いれる、入れる
いわう、祝う
うえる、植える
うかる、受かる
うけたまわる、承る
うける、受ける
うごかす、動かす
うごく、動く
うしなう、失う
うたう、歌う
うたがう、疑う
うつ、討つ
うつ、打つ
うつす、写す
うつす、映す
うつす、移す
うつる、写る
うつる、映る
うつる、移る
うまれる、生まれる
うまれる、産まれる
うむ、生む
うむ、産む
うやまう、敬う
うる、売る
うる・える、得る
うれる、売れる
うれる、熟れる
うわる、植わる
えむ、笑む
えらぶ、選ぶ
おいる、老いる
おう、負う
おう、追う
おう、生う
おえる、終える
おかす、犯す
おがむ、拝む
おぎなう、補う
おきる、起きる
おく、置く
おくる、送る
おくれる、後れる
おこす、興す
おこす、起こす
おこなう、行う
おこる、興る
おこる、起こる
おさまる、納まる
おさまる、修まる
おさまる、収まる
おさまる、治まる
おさめる、納める
おさめる、修める
おさめる、収める
おさめる、治める
おしえる、教える
おす、推す
おそわる、教わる
おちる、落ちる
おとす、落とす
おとずれる、訪れる
おびる、帯びる
おぼえる、覚える
おもう、思う
およぐ、泳ぐ
おりる、降りる
おりる、下りる
おる、織る
おれる、折れる
おろす、降ろす
おろす、下ろす
おわる、終わる
かう、買う
かう、飼う
かえす、返す
かえりみる、省みる
かえる、返る
かえる、変える
かえる、代える
かえる、帰る
かかる、係る
かぎる、限る
かく、書く
かく、欠く
かける、欠ける
かこう、囲う
かこむ、囲む
かさなる、重なる
かさねる、重ねる
かす、貸す
かぞえる、数える
かたまる、固まる
かためる、固める
かたらう、語らう
かたる、語る
かつ、勝つ
かつぐ、担ぐ
かなしむ、悲しむ
かなでる、奏でる
かまう、構う
かまえる、構える
かよう、通う
かりる、借りる
かわす、交わす
かわる、変わる
かわる、代わる
かんがえる、考える
きえる、消える
きく、聞く
きく、効く
きこえる、聞こえる
きざす、兆す
きざむ、刻む
きす、帰す
きせる、着せる
きそう、競う
きたす、来す
きたる・くる、来る
きづく、築く
きまる、決まる
きめる、決める
きよまる、清まる
きよめる、清める
